metal,channel,target,name
ArAr80,0,80ArAr,na
Y89,1,HLA-ABC_19602744Y89,HLA-A|HLA-B|HLA-C
In113,2,Histone_1262668In113,H3F3A
In115,3,SMA_1742617In115,ACTA2
Xe131,4,131Xe,na
Xe134,5,134Xe,na
Ba136,6,136Ba,na
Pr141,7,CD16_18202596Pr141,FCGR3A
Nd142,8,CD38_17192683Nd142,CD38
Nd143,9,HLA-DR_18492491Nd143,HLA-DRA|HLA-DRB|HLA-DRC
Nd144,10,CD27_22312447Nd144,CD27
Nd145,11,CD57_20202761Nd145,B3GAT1
Nd146,12,CD45RA_7322517Nd146,PTPRC-CD45RA
Sm147,13,CD163_18632612Sm147,CD163
Nd148,14,CD20_362653Nd148,MS4A1
Sm149,15,CD11b_22792694Sm149,ITGAM
Nd150,16,CD68_772621Nd150,CD68
Eu151,17,CD39_19542423Eu151,ENTPD1
Sm152,18,CD3_18412681Sm152,CD3E
Eu153,19,LAG-3_18172675Eu153,LAG3
Sm154,20,CD11c_18902590Sm154,ITGAX
Gd155,21,CD279P_17432570Gd155,PDCD1-PD1
Gd156,22,CD73_21932410Gd156,NT5E
Gd158,23,CD134_7482747Gd158,TNFRSF4
Tb159,24,Granzym_22152444Tb159,GZMB
Gd160,25,CD274B_22982677Gd160,CD274
Dy161,26,Podopla_14632760Dy161,PDPN
Dy162,27,CD45RO_20142541Dy162,PTPRC-CD45RO
Dy163,28,FOXP3_1152690Dy163,FOXP3
Dy164,29,CD278I_18152393Dy164,CD278-ICOS
Ho165,30,CD8a_17182673Ho165,CD8A
Er166,31,TCF1TCF_22212488Er166,TCF1|TCF7
Er167,32,CD33_22372485Er167,CD33
Er168,33,Ki-67_1422676Er168,MKI67
Tm169,34,VISTA_20242425Tm169,VSIR
Er170,35,CD40_22552440Er170,CD40
Yb171,36,CD4_22932727Yb171,CD4
Yb172,37,CD31_18592725Yb172,PECAM1
Yb173,38,CD14_22752743Yb173,CD14
Yb174,39,CD303_23132462Yb174,CLEC4C
Lu175,40,CD206M_3242401Lu175,MRC1-MMR
Yb176,41,cleaved_1982540Yb176,PARP1-cleaved
Ir191,42,191Ir,nucleus1
Ir193,43,193Ir,nucleus2
Bi209,44,CD15_6272748Bi209,FUT4
